Start,End,Duration,Type,Animal,Strain,Trial_Mean_Density,Baseline_Mean_Density,Z_Score
2012,2110,98,DS,pm_1,pm,0.061308384418924375,0.06287310236417953,-0.21032606157115205
2810,2898,88,EWD,pm_1,pm,0.05540660155589532,0.05395572923721328,0.6132926255618308
3559,3657,98,EWD,pm_1,pm,0.07408581991351393,0.06100593912592519,4.978843190555131
4338,4428,90,SS,pm_1,pm,0.081749823889591,0.07810021395844818,1.64447734365651
5075,5228,153,SS,pm_1,pm,0.08268939449651694,0.0803294159554922,0.3597386803270192
5859,6023,164,DS,pm_1,pm,0.055880668340150604,0.06866001274661475,-1.787160440926335
6668,6727,59,EDD,pm_1,pm,0.06414012645117285,0.07944280655910375,-0.3905231342998956
8215,8312,97,EDD,pm_1,pm,0.04815848729171348,0.04862069876904974,-0.2063145063627213
2013,2151,138,EDD,pm_2,pm,0.0635163516511372,0.0659999448880931,-1.3067308592955194
3149,3379,230,SS,pm_2,pm,0.06210197942092999,0.05930959655760958,1.6386128769083463
4290,4440,150,DS,pm_2,pm,0.06528866990833092,0.06300023154744937,1.4628722746905258
5433,5585,152,DS,pm_2,pm,0.06361599191365057,0.06129162639584672,1.4079751298383787
7718,7867,149,EWD,pm_2,pm,0.06627176838895568,0.06441399458678637,0.6759709116733356
8859,9010,151,EDD,pm_2,pm,0.07760381918821796,0.0733160039392555,1.9656531191382174
10002,10235,233,SS,pm_2,pm,0.07046302208637013,0.058565986665802296,4.0037957902972785
11143,11295,152,EWD,pm_2,pm,0.07576377408515317,0.07760070058336828,-1.3158874951988957
2008,2161,153,EDD,po_1,po,0.06263078385505427,0.051632258180179025,3.0673424531041453
3195,3348,153,DS,po_1,po,0.05173553922732762,0.04188334222736302,3.8405550884400523
4383,4614,231,SS,po_1,po,0.04577278826308104,0.04874684870321086,-0.99103606162836
5566,5719,153,EDD,po_1,po,0.04742620574638134,0.04276186776719802,2.939230549472368
7939,8090,151,EWD,po_1,po,0.04870135557289765,0.04238114526694834,11.5934170596867
10284,10436,152,DS,po_1,po,0.04915361409711489,0.06501839343333304,-0.14914473829012787
11470,11704,234,SS,po_1,po,0.04822593607737608,0.07605760458302577,-0.24449549792485592
13827,13979,152,EWD,po_1,po,0.04827796544787084,0.04431116274317165,1.6972977025972218
2013,2160,147,EWD,po_2,po,0.03011461023209507,0.03255030371367693,-1.256599456807736
3196,3427,231,SS,po_2,po,0.03849656098449375,0.039499538100234474,-0.9466376262025848
4380,4531,151,DS,po_2,po,0.03193879615850626,0.03113575232986507,1.2121254341982532
5636,5789,153,DS,po_2,po,0.04469928051490373,0.03590493754854459,6.148554567045077
6835,6987,152,EWD,po_2,po,0.03912775454751686,0.0378559500077807,0.9584400119241779
9321,9472,151,EDD,po_2,po,0.02930798128605907,0.026279905656504794,10.670637589306281
10502,10739,237,SS,po_2,po,0.02615948831996801,0.022476918153800964,1.5424385980639983
14053,14204,151,EDD,po_2,po,0.025387031030896855,0.022598015167714383,1.5285997984050204
